,source,destination
0,China,China
1,China,China
2,Thailand,China
3,Vietnam,China
4,China,China
5,China,China
6,China,China
7,China,China
8,China,China
9,China,China
10,China,Japan
11,China,China
12,China,China
13,China,China
14,China,United States
15,China,Japan
16,Japan,Japan
17,China,China
18,China,China
19,China,China
20,China,China
21,China,China
22,China,China
23,China,China
24,China,China
25,China,China
26,China,China
27,China,China
28,China,China
29,China,China
30,China,China
31,China,China
32,China,China
33,China,China
34,China,China
35,China,China
36,China,China
37,China,China
38,China,China
39,China,China
40,China,China
41,China,China
42,China,China
43,China,China
44,China,China
45,China,China
46,China,China
47,China,Japan
48,China,Singapore
49,China,South Korea
50,China,Malaysia
51,France,United Kingdom
52,China,Singapore
53,China,United Kingdom
54,China,Malaysia
55,United States,Japan
56,China,Japan
57,China,South Korea
58,China,Malaysia
59,China,China
60,China,China
61,China,China
62,China,China
63,China,China
64,China,China
65,China,China
66,China,China
67,China,China
68,Iran,Lebanon
69,China,United States
70,China,China
71,Iran,Canada
72,China,Japan
73,China,China
74,China,China
75,China,China
76,China,Singapore
77,China,China
78,South Korea,South Korea
79,South Korea,South Korea
80,China,China
81,Japan,Japan
82,Indonesia,Japan
83,Iran,United Arab Emirates
84,Iran,United Arab Emirates
85,China,China
86,China,China
87,China,Japan
88,China,China
89,China,China
90,China,China
91,China,China
92,China,China
93,China,China
94,China,China
95,Italy,Finland
96,Italy,North Macedonia
97,Italy,Spain
98,Italy,Spain
99,Italy,Spain
100,Italy,Spain
101,Italy,Spain
102,Italy,Spain
103,Italy,Spain
104,China,Canada
105,Iran,Kuwait
106,Iran,Kuwait
107,Iran,Kuwait
108,Iran,Kuwait
109,Iran,Kuwait
110,Iran,Kuwait
111,Iran,Kuwait
112,Iran,Kuwait
113,Iran,Kuwait
114,Iran,Kuwait
115,Iran,Kuwait
116,Iran,Kuwait
117,Iran,Kuwait
118,Iran,Kuwait
119,Iran,Kuwait
120,Iran,Kuwait
121,Iran,Kuwait
122,Iran,Kuwait
123,Iran,Kuwait
124,Iran,Kuwait
125,Iran,Kuwait
126,Iran,Kuwait
127,Iran,Kuwait
128,Iran,Kuwait
129,Iran,Kuwait
130,Iran,Kuwait
131,Iran,Pakistan
132,Iran,Pakistan
133,Italy,Greece
134,Iran,Oman
135,Iran,Oman
136,Iran,Oman
137,Iran,Oman
138,Iran,Afghanistan
139,China,
140,China,
141,Italy,Algeria
142,Italy,Germany
143,Iran,Australia
144,Malaysia,Australia
145,Italy,Brazil
146,Italy,Romania
147,Italy,Switzerland
148,South Korea,South Korea
149,China,Norway
150,Iran,Georgia
151,Azerbaijan,Georgia
152,Japan,China
153,Japan,China
154,Italy,United Kingdom
155,Italy,United Kingdom
156,Spain,United Kingdom
157,Iran,Iraq
158,Iran,Iraq
159,Iran,Iraq
160,Iran,Iraq
161,Iran,Iraq
162,Iran,Iraq
163,Iran,Lebanon
164,Iran,Lebanon
165,Italy,Spain
166,Iran,Bahrain
167,Iran,Bahrain
168,Iran,Bahrain
169,Iran,Bahrain
170,Iran,Bahrain
171,Iran,Bahrain
172,Iran,Bahrain
173,Iran,Bahrain
174,Iran,Bahrain
175,Iran,Bahrain
176,Indonesia,Singapore
177,Italy,Croatia
178,Italy,Croatia
179,Iran,Oman
180,Iran,Oman
181,China,Thailand
182,Japan,Thailand
183,Japan,Thailand
184,Iran,Bahrain
185,Iran,Bahrain
186,United Arab Emirates,Bahrain
187,Iran,Bahrain
188,United Arab Emirates,Bahrain
189,Iran,Bahrain
190,United Arab Emirates,Bahrain
191,Iran,Bahrain
192,United Arab Emirates,Bahrain
193,Iran,Bahrain
194,United Arab Emirates,Bahrain
195,Iran,Bahrain
