node,label,eccentricity,closenesscentrality,betweennesscentrality,modularity_class,pagerank,eigencentrality,indegree,outdegree,degree
China,China,3,0.5416666666666666,3715.495693586039,0,0.00488926543357816,0.4027383727831926,9,26,35
Thailand,Thailand,4,0.39661016949152544,0.3939950980392157,0,0.0012075401654133707,0.14356341009031462,2,10,12
Vietnam,Vietnam,4,0.36,13.009523809523806,0,0.0013595638403156333,0.06337667258920729,2,3,5
Japan,Japan,4,0.4134275618374558,160.72933260260635,0,0.0022862261630400595,0.21700836223957828,6,13,19
United States,United States,4,0.42700729927007297,2771.750559995205,1,0.03204628042312588,0.2205322747597552,56,30,86
Singapore,Singapore,5,0.32865168539325845,248.71998696813267,0,0.005469242696315871,0.12412478102448848,12,9,21
South Korea,South Korea,5,0.30708661417322836,4.308333333333334,0,0.0021282580481651664,0.0809314496101646,5,6,11
Malaysia,Malaysia,4,0.36792452830188677,8.45,0,0.0018345119160234572,0.11464320113731745,3,6,9
France,France,5,0.4775510204081633,747.4531569542281,2,0.0010903928827375431,0.29553623724950984,3,50,53
United Kingdom,United Kingdom,4,0.44150943396226416,342.70730044855713,3,0.001948107447687629,0.18330382975044526,9,30,39
Iran,Iran,5,0.391304347826087,0.0,5,0.0008982035928143714,0.1715582149099585,0,24,24
Lebanon,Lebanon,7,0.19281045751633988,0.09090909090909091,5,0.0009300149700598804,0.0007501164194934349,1,1,2
Canada,Canada,5,0.3103448275862069,299.83777133813896,4,0.015491891087266388,0.07934732679439882,32,9,41
Indonesia,Indonesia,5,0.30971128608923887,0.0,0,0.0008982035928143714,0.08759882390885117,0,7,7
United Arab Emirates,United Arab Emirates,5,0.33815028901734107,180.90167166415577,5,0.0010898630859049103,0.10578356633070778,2,21,23
Italy,Italy,4,0.6763005780346821,1683.1005427170867,7,0.0010718560378859677,0.47950269055982686,2,66,68
Finland,Finland,5,0.2969543147208122,0.0,4,0.0009120079220409379,0.042652883769920935,1,4,5
North Macedonia,North Macedonia,0,0.0,0.0,7,0.0009120079220409379,0.0,1,0,1
Spain,Spain,5,0.3848684210526316,71.72142857142856,1,0.0009736111334718468,0.18113422957571562,3,27,30
Kuwait,Kuwait,0,0.0,0.0,5,0.0009300149700598804,0.0,1,0,1
Pakistan,Pakistan,6,0.25,0.625,3,0.0009300149700598804,0.017463533294851407,1,4,5
Greece,Greece,5,0.29770992366412213,0.475,4,0.0010941992256155043,0.05102684114763053,3,6,9
Oman,Oman,5,0.2871046228710462,0.038461538461538464,5,0.0009300149700598804,0.016727423450454484,1,2,3
Afghanistan,Afghanistan,1,1.0,0.125,5,0.0009300149700598804,0.0,1,1,2
,,0,0.0,0.0,0,0.0013263470558500397,0.0,3,0,3
Algeria,Algeria,0,0.0,0.0,1,0.0009611955150376077,0.0,3,0,3
Germany,Germany,5,0.39,232.70340751000947,6,0.0013173138696522988,0.2262578475760878,8,26,34
Australia,Australia,5,0.3103448275862069,85.88465296957938,0,0.0067182683698601055,0.08905197317022588,25,10,35
Brazil,Brazil,5,0.31117021276595747,225.6027965214665,6,0.009470631581758454,0.07935032019182867,30,10,40
Romania,Romania,5,0.3038961038961039,0.0,7,0.0009120079220409379,0.028050100843115038,1,2,3
Switzerland,Switzerland,5,0.36792452830188677,106.99702380952381,2,0.0010068920722817345,0.15271072382242626,3,19,22
Norway,Norway,1,1.0,34.02591220054456,5,0.001103667415131477,8.13405310873278e-13,3,3,6
Georgia,Georgia,1,1.0,0.5384615384615384,5,0.001770938831779397,0.0,3,1,4
Azerbaijan,Azerbaijan,2,0.6666666666666666,2.5,5,0.0009730813366392141,0.0,2,1,3
Iraq,Iraq,0,0.0,0.0,5,0.0009300149700598804,0.0,1,0,1
Bahrain,Bahrain,5,0.2896039603960396,51.0,5,0.0009741288545910305,0.02068020320336584,2,2,4
Croatia,Croatia,0,0.0,0.0,7,0.0009120079220409379,0.0,1,0,1
Nigeria,Nigeria,6,0.23780487804878048,0.0,3,0.0019368241242682582,0.009668533327414311,5,1,6
Netherlands,Netherlands,5,0.32142857142857145,0.39166666666666666,3,0.0009120079220409379,0.07907694199155899,1,13,14
Latvia,Latvia,7,0.19381107491856678,0.0,1,0.0008982035928143714,0.0011644304459871196,0,1,1
Estonia,Estonia,6,0.2383838383838384,59.0,1,0.001661676646706587,0.009556119986267276,1,1,2
Sweden,Sweden,5,0.3087071240105541,1.1059054099495276,3,0.0011467337817108107,0.054823838510198133,4,7,11
Israel,Israel,5,0.312,14.966666666666665,0,0.0010614963787949072,0.0686626414805514,2,8,10
Lithuania,Lithuania,0,0.0,0.0,7,0.0009120079220409379,0.0,1,0,1
Ecuador,Ecuador,5,0.3046875,0.225,1,0.0009426586701860325,0.04148280302265015,2,4,6
Cambodia,Cambodia,6,0.23541247484909456,0.0,0,0.0010580517086594013,0.008897049240887637,1,1,2
Iceland,Iceland,0,0.0,0.0,6,0.0010314215940094933,0.0,3,0,3
Mexico,Mexico,5,0.3103448275862069,344.87225335938575,1,0.02430481328787458,0.07842479798049347,36,10,46
Senegal,Senegal,1,1.0,2.529761904761904,2,0.0013219413639328028,2.4402159326198347e-12,3,3,6
Saudi Arabia,Saudi Arabia,5,0.29770992366412213,3.131354756354756,5,0.0013440199564547519,0.03243952306275799,2,5,7
Egypt,Egypt,5,0.3155080213903743,0.0,4,0.0008982035928143714,0.10833090383679729,0,11,11
Russia,Russia,5,0.306282722513089,11.78125,6,0.0011169012274415647,0.04563762891555821,3,4,7
Qatar,Qatar,5,0.3105263157894737,0.3182234432234432,3,0.0009300149700598804,0.06875337226106719,1,8,9
Tunisia,Tunisia,0,0.0,0.0,7,0.0009120079220409379,0.0,1,0,1
